Sample,X(ms) [03.01.2012 22:56:23 658 UTC],"Temperatura"[%MD9]
6968,1325631717058.467920,50.0198364257813
6969,1325631717108.472920,50.0198364257813
6970,1325631717158.435860,49.9435386657715
6971,1325631717208.432940,49.9954223632813
6972,1325631717258.473080,50.0198364257813
6973,1325631717308.440020,49.9954223632813
6974,1325631717358.488600,49.9954223632813
6975,1325631717408.431260,49.9710083007813
6976,1325631717458.453940,50.0198364257813
6977,1325631717508.451400,50.0198364257813
6978,1325631717558.434820,50.0198364257813
6979,1325631717608.455880,50.0198364257813
6980,1325631717658.427860,49.9435386657715
6981,1325631717708.461140,49.9954223632813
6982,1325631717758.443520,49.9954223632813
6983,1325631717808.449600,49.9954223632813
6984,1325631717858.466400,50.0198364257813
6985,1325631717908.435160,50.0442504882813
6986,1325631717958.433280,50.0198364257813
6987,1325631718008.434740,50.0198364257813
6988,1325631718058.435700,50.0198364257813
6989,1325631718108.486680,50.0198364257813
6990,1325631718158.505800,49.9710083007813
6991,1325631718208.444600,49.9954223632813
6992,1325631718258.437240,50.0198364257813
6993,1325631718308.441640,49.9954223632813
6994,1325631718358.475440,50.0198364257813
6995,1325631718408.458800,50.0198364257813
6996,1325631718458.441600,50.0198364257813
6997,1325631718508.440080,50.0198364257813
6998,1325631718558.459360,50.0442504882813
6999,1325631718608.477700,49.9954223632813
7000,1325631718658.431980,50.0198364257813
7001,1325631718708.448340,49.9954223632813
7002,1325631718758.424100,50.0198364257813
7003,1325631718808.462540,50.0198364257813
7004,1325631718858.477740,50.0198364257813
7005,1325631718908.441120,50.0198364257813
7006,1325631718958.427300,50.0198364257813
7007,1325631719008.446740,50.0198364257813
7008,1325631719058.427180,50.0442504882813
7009,1325631719108.482280,50.0442504882813
7010,1325631719158.465180,49.9710083007813
7011,1325631719208.435180,50.0442504882813
7012,1325631719258.456060,50.0198364257813
7013,1325631719308.426000,50.0198364257813
7014,1325631719358.531460,50.0442504882813
7015,1325631719408.438040,49.9954223632813
7016,1325631719458.431340,50.0198364257813
7017,1325631719508.428080,50.0442504882813
7018,1325631719558.434800,50.0198364257813
7019,1325631719608.469700,49.9954223632813
7020,1325631719658.436060,50.0198364257813
7021,1325631719708.447620,50.0198364257813
7022,1325631719758.557420,49.9954223632813
7023,1325631719808.469560,50.0198364257813
7024,1325631719858.479980,50.0198364257813
7025,1325631719908.440120,49.9710083007813
7026,1325631719958.427240,50.0442504882813
7027,1325631720008.435000,50.0198364257813
7028,1325631720058.448840,50.0198364257813
7029,1325631720108.506160,50.0198364257813
7030,1325631720158.445180,49.9710083007813
7031,1325631720208.443780,49.9954223632813
7032,1325631720258.451560,49.9954223632813
